    title,release_year,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
Bully,2011,92,"['drama', 'documentation']",['US'],,tt1682181,7.4,10266.0,8.112,7.2
Cloudburst,2011,93,"['romance', 'drama', 'comedy']","['US', 'CA']",,tt1466054,7.2,2281.0,6.12,6.4
A Princess for Christmas,2011,89,"['comedy', 'family', 'romance', 'drama']",['US'],,tt1083448,6.3,8222.0,24.928,7.1
Undefeated,2011,113,"['documentation', 'sport']",['US'],,tt1860355,7.7,7051.0,8.21,7.7
Sniper: Reloaded,2011,91,['thriller'],"['US', 'ZA', 'DE']",,,,,13.963,6.1
Don 2,2011,139,"['action', 'thriller', 'crime', 'european']","['DE', 'IN']",,tt1285241,7.1,52338.0,7.283,7.0
Jeff Dunham: Controlled Chaos,2011,90,"['comedy', 'documentation']",['US'],,tt2058636,7.4,2272.0,3.707,6.3
An Elf's Story,2011,24,"['fantasy', 'animation', 'family']",['US'],,tt2094761,5.2,504.0,2.184,2.7
Without Gorky,2011,58,['documentation'],['US'],,tt1854593,6.6,97.0,1.095,
Lavell Crawford: Can a Brother Get Some Love?,2011,90,"['comedy', 'documentation']",['US'],,tt2084872,6.9,230.0,2.601,6.6
Tom Papa: Live in New York City,2011,57,['comedy'],['US'],,tt1910649,7.2,490.0,1.546,6.1
Asmaa,2011,96,['drama'],['EG'],,tt1826603,8.1,4445.0,1.607,8.2
"Darling, Something's Wrong with Your Head",2011,78,"['drama', 'romance', 'war', 'european']","['NL', 'US', 'AE', 'PS']",,tt1670646,6.7,129.0,3.689,5.8
Django Unchained,2012,165,"['western', 'drama']",['US'],,tt1853728,8.4,1472668.0,56.588,8.1
Looper,2012,119,"['thriller', 'scifi', 'drama', 'crime', 'action']",['US'],,tt1276104,7.4,566791.0,48.347,6.9
Argo,2012,120,"['drama', 'thriller']","['US', 'GB']",,tt1024648,7.7,600392.0,17.419,7.3
Les Misérables,2012,157,"['drama', 'romance', 'history', 'war']","['GB', 'US']",,tt1707386,7.5,325132.0,18.0,7.3
Battleship,2012,131,"['scifi', 'thriller', 'action', 'documentation']",['US'],,tt1440129,5.8,246008.0,44.046,5.8
Killing Them Softly,2012,104,"['crime', 'thriller', 'drama']",['US'],,tt1767297,6.2,141289.0,15.681,6.0
Dark Shadows,2012,113,"['comedy', 'fantasy', 'horror']",['US'],,tt1077368,6.2,262998.0,53.366,6.0
Silver Linings Playbook,2012,122,"['drama', 'romance', 'comedy']",['US'],,tt1045658,7.7,697481.0,26.254,7.1
Total Recall,2012,120,"['thriller', 'scifi', 'crime', 'action']","['CA', 'US']",,tt1386703,6.2,252051.0,76.648,6.0
Project X,2012,88,['comedy'],['US'],,tt1636826,6.6,204959.0,168.423,6.8
Savages,2012,131,"['thriller', 'action', 'crime', 'drama']",['US'],,tt1615065,6.4,129199.0,16.038,6.4
